movie_id,story
122349,"Growing up in the Mission district of San Francisco, Che Rivera has always had to be tough to survive. He\'s a powerful man respected throughout the Mission barrio for his masculinity and his strength, as well as for his hobby building beautiful lowrider cars. A reformed inmate and recovering alcoholic, Che has worked hard to redeem his life and do right by his pride and joy: his only son, Jes, whom he has raised on his own after the death of his wife. Che\'s path to redemption is tested, however, when he discovers Jes is gay. To survive his neighborhood, Che has always lived with his fists. To survive as a complete man, he\'ll have to embrace a side of himself he\'s never shown."
122351,A soldier returns home from the Iraq war only to be haunted by visions of the dead.
122361,"Marco the Monkey works as a beach officer. But he spends most of his time trying to win the heart of the beautiful Lulu. He is just about to succeed, when Marco\'s rival, Carlo, builds a gigantic monkey-shaped casino right on Marco\'s beach. Lulu is fascinated by the charming Carlo. Jealously Marco starts an undercover investigation of Carlo\'s strange casino. Soon he discovers the truth. Carlo will take over the island and force Lulu to marry him! When Marco tries to arrest Carlo a problem rises. Literally from the ground. Because Carlo\'s Casino is a giant robot."
187901,"When an honest cop, Vijay Kumar\'s family is ruthlessly slaughtered by a politician and his aides, he decides to change his identity and commits his life to bring his daughter up in a serene atmosphere. But some freak events end up compromising his identity and what he does to save his daughter and avenge the death of his family unfurls as Theri."
187903,"Kathiresan aka Kaththi, a criminal, escapes from the Kolkata prison and comes to Chennai, where he comes across his doppelganger Jeevanandham, fighting for his life after being shot at by unknown men. Kathir decides to pass off as Jeeva and make away with a lump sum amount but once he realizes who Jeeva really is, Kathir turns a crusader."
56835,"At popular South Beach University, filthy rich super-snob Victoria English is the absolute queen of leading Greek student club, Sigma Sigma. In order to achieve her crowning ambition, winning FHM Magazine\'s annual best sorority, she must recruit atypical \'Sigmies\' to fulfill the diversity criteria. Ambitious sycophant pledge Kristen Haas helps her attract \'losers\' (too poor, ugly, unfashionable), who are cruelly put through excruciating hazing, without intent to actually enroll them. Gloria, the brightest and most assertive pledge, wins the heart of Derek \'baby Dick\', Victoria\'s ideal, yet constantly abused boyfriend, whose bitch-addiction is cured by this alternative lover. Together they lead the revolt of the not-even-nerds."
56837,"Witty, playful and utterly magical, the story is a compelling romantic adventure in which Rosalind and Orlando\'s celebrated courtship is played out against a backdrop of political rivalry, banishment and exile in the Forest of Arden - set in 19th-century Japan."
56846,"Rainbow press reporter Ludo is sentenced to 8 months, but is released on probation. But he has to work 300 hours for a local daycare center and meets Anna who has unfinished business with him."
122387,"Nemesis is the hottest rapper in rap\'s hottest city; Miami, the 305. But he has a little secret...he\'s not really a rapper. A record label discovers Nate\'s talent, and offers to make him a star, as a rapper. They create Nemesis, a Hip Hop gangster designed to sell records and spit hate. Fame quickly follows, but at price."
187937,"Jacek loves heavy metal and his dog. He converts the country lanes outside his door into a racing track and bombs down them in his little car. When he and his girlfriend Dagmara take to the dancefloor, everyone runs for cover. He enjoys his existance as a cool misfit in an otherwise stuffy environment, and keeps his muscles toned working on a building site close to the Polish-German border where the world\xe2\x80\x99s largest statue of Jesus is being constructed. But then his life is thrown badly off course by a terrible accident at work that completely disfigures him. Eagerly followed by the Polish media, Jacek becomes the first person in the country to receive a face transplant. He may be celebrated as a national hero and martyr, but he no longer recognises himself in the mirror. Meanwhile, the statue of Jesus grows taller and taller. Whilst events around Jacek come thick and fast, the film never loses sight of the bigger picture and instead brings things even more into focus."
56869,"A pawn shop proprietor buys used goods from desperate locals \xe2\x80\x93 as much to play perverse power games as for his own livelihood, but when the perfect rump and a backed-up toilet enter his life, he loses all control."
122406,The women of a remote Latin American town are forced to pick up the pieces and remake their world when all the town\'s men are forcibly recruited by communist guerrillas.
187941,"The most feared battle emcee in early-\'80s NYC was a fierce teenager from the Queensbridge projects with the weight of the world on her shoulders. At age 14, hustling the streets to provide for her family, Roxanne Shant\xc3\xa9 was well on her way to becoming a hip-hop legend."
187943,"One night in the hottest summer in 20 years, Leandro De La Torre, famous punk singer, shoots out of a window and hits the roof of a car. It is the day of his 27th birthday. Paula, a young fan of twenty-one years old, records everything with her cell phone. Far from knowing that in that video is the key behind the murder of the musician. Mart\xc3\xadn Lombardo, a staunch supporter of Racing, is the detective in charge of investigating the case. Along with Paula you will discover the conspiracy behind the deaths of all famous rockers at 27 years old. Jimi Hendrix, Janis Joplin, Amy Winehouse, Sid Vicious and Leandro De La Torre have a lot in common: in fact, they were all murdered. Paula and Lombardo can be the following. Persecutions, impossible action scenes and completely unexpected twists make up the plot of 27."
187945,"A newly reunited young couple\'s drive through the Pacific Northwest turns into a nightmare as they are forced to face nature, unsavory locals, and a monstrous creature, known to the Native Americans as Oh-Mah."
122419,"In search of an ancient Chinese scroll, a Chinese agent battles against Japanese Yakuzas and British mercenaries."
56885,The true story of a brilliant but politically radical debate team coach who uses the power of words to transform a group of underdog African-American college students into a historical powerhouse that took on the Harvard elite.
187957,"Hari Kondabolu breaks down identity politics, celebrity encounters, his mango obsession and more in an unpredictable stand-up comedy special."
187959,"An internet broadcaster recruits a handful of people for their \'experience the horror\' show at Gonjiam Psychiatric Hospital, a place selected as one of the \'7 freakiest places on the planet\'. They are to explore the haunted asylum and stream it live on their online show."
56888,"Bilike has never seen a ping-pong ball before. He and his family live without electricity and running water in a solitary tent home among the vast steppe grasslands. The magnificent landscape here has changed little since the days of Genghis Kahn. But life in the middle of nowhere can be exciting for a young boy. The smallest of details become big events for curious Bilike and his best friends Erguotou and Dawa. The mystery of the small white ball floating in the creek leads to questions about the world around them, as well as innocent mischief."
187963,"A Blanc-Biehn production centered around the idea of a governmentally designed drug created to help correct or strategically alter perceptions gathered during times of trauma or stress. Slated as being a substance that may help solve issues with everything from racial tensions, PTSD and geopolitic battles, first a focused study is needed to see how people respond to treatment and what dosages might be needed. Four couples are chosen to test this drug, and soon find their memories and sanity challenged."
187967,"A consumer affair rep who works from her apartment decides to play hooky one day, and spends her time calling random people, looking for new connections"
187969,"Bad City is on the edge of falling into the hands of a madman, you dig? A strange and funky new party drug is killing kids left and right and that jive-ass, crooked city councilor Dominic Kincaid is behind it all. After murdering the mayor, Kincaid has his sights set on taking over and running the city his way, the bad way. Thankfully, the one and only superfly Detective Franky New Guinea and his new partner, the truly unruly Detective Reverend Grizzly Night-Bear, are here to make sure that Bad City stays groovy and is run the good way: the Bad way (it\'s different from the first bad way, and better). So get ready to boogie, cats, \'cause these cops are outta sight like dy-no-mite and the only thing they love more than sex, drugs, and growing body hair is taking down turkeys like Kincaid who threaten their BAD CITY."
187975,"Jean-Marie Straub pushes this musicality of blocks to a paroxysmal extreme, mixing blocks of time (40 years separate the various extracts that are going to be used, and what is to be filmed), blocks of text (Malraux, Fortini, Vittorini, H\xc3\xb6lderlin) and blocks of language (French, Italian, German), and from this ruckus emerges the history of the world, yes, History with a capital H, and from the same movement, the political hope of its being overtaken. So this is an adventure film, about the Human adventure, still one that is always, in the end, overtaken by Nature. (Arnaud Dommerc)"
187977,"Indy lives with her aunt and uncle and believes her life is fine until an accident brings a new guy into her life. Bryant Bailey is not Indy\'s type - she\'s never been into guys like him. But then again, she\'s never really known anyone so stubborn and caring that can also help her discover who she is and what she\'s worth. A modern telling of Cinderella, based on the novel by Jenni James."
56908,"A modern love story in which a misanthropic, emotionally complex author of a hit children\'s book is forced to team with a beautiful illustrator after his best friend and collaborator passes away. As Henry struggles with letting go of the ghosts of love and life, he discovers that sometimes you have to take a gamble at life to find love."
56915,A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.
187987,The king decided to bring a soldier to a nervous breakdown because he fell in love with soldier\'s wife.
122455,"The village of Kilcoulins Leap was once a thriving spa town, and was home to a famous Holy Well, but now offers little by way of employment for its people, and its decline seems inexorable. When local Postie, Podger Byrnes, comes up with a plan to hijack a consignment of Viagra, and sell it on the open market in Amsterdam, his friends are desperate enough to try it. Not counting on the muscular response of Viagra\'s makers, the boys panic and hide the lorry load of Viagra down the town\'s Holy Well."
122464,"Laura is a 19-year-old university freshman who desperately wants to do well in school. She works a part-time job but cannot make ends meet. One evening in which she is short of funds, she answers a personal ad online by ""Joe,"" 57, who seeks a female student for ""tender moments."" The pay is 100 euros per hour. Laura pledges to do this just once, and three days later, she goes to a hotel room with Joe. And then her spiral begins."
122466,"Get ready for a battle of the ages when the Justice League faces off against its archenemies, the Legion of Doom, in an all-new movie from DC Comics. A mysterious being known as the Time Trapper arises, and a sinister plan led by Lex Luthor sends the Legion of Doom back in time to eliminate Superman, Wonder Woman and Batman before they become super heroes. For Aquaman, Flash and Cyborg, along with teen super heroes Karate Kid and Dawnstar, the stakes have never been higher, the rescue mission never deadlier. So join the fight for the future as the Justice League confronts its ultimate challenge\xe2\x80\xa6 the threat of having never existed!"
122468,"Rusty Nail is back on the road again looking to punish injustice at every turn - and this time it\'s with a group of hotheaded street racers on their way to the Road Rally 1000. As they drive through a desolate shortcut on the way to the race, an encounter with Rusty turns sour and soon he is tracking, teasing and torturing them until the end of the road."
122470,"For the last thirteen years AJ (Triple H) has been behind bars, convicted of manslaughter for killing a man who intended to kill his best friend, Jack (Michael Rapaport). Now released, AJ wants nothing more than to start a small business and live a crime-free life. Unfortunately, within hours of leaving prison, his oldest and best friend, Jack (Michael Rapaport) involves AJ in an accidental shooting in which a man is killed, forcing Jack to skip town."
188009,"Viktor K\xc3\xa4rpp\xc3\xa4 was forced involuntarily in the middle of Russia\'s internal power struggle. Soon bunch of assassins as well as Security Police are trying to catch K\xc3\xa4rpp\xc3\xa4. K\xc3\xa4rpp\xc3\xa4\'s family is also in great danger. In order to save themselves and their families they need to resort to K\xc3\xa4rpp\xc3\xa4s friend, the police Korhonen , as well as his brother Aleksei."
122476,"Jeana does IT for the Sacramento Fire Department. She and Tom, a self-confident local TV news reporter, are about to go on a cruise to Rio when he lets slip on TV that she is a virgin. It\'s a slow news week, so this becomes a story: the media pursue Jeana, she breaks up with Tom and wants the tickets or her cruise money back, and Tom can\'t believe she\'s serious. Her path crosses that of Paul, a photographer recently arrived from Texas who\'s also Tom\'s cameraman; he\'s had six serious relationships that have ended with his heart broken. A triangle of sorts develops. Will Jeana end up with either man? Will she end up on the cruise? And what about that minor thing?"
56941,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.
122478,Flashbacks and flash-forwards illustrate the rise and fall of a love affair between two New Yorkers.
188013,"Following a brawl, Captain Ignat, who is traumatised by the death of his daughter, is ordered together with a regular soldier to find a deserter and bring him back via Moscow to stand before a military court. Although they locate the young soldier, their journey across the wintry moloch that is Moscow is slow and tortuous. Before long, the unlikely trio find themselves drawn into a chaotic maelstrom of violence, corruption, criminality, degradation and squalidness. In the face of the monstrous malaise and everyday horror of life in Russia, the gradual breakdown of the film\xe2\x80\x99s anti-hero becomes a metaphor for Russian society."
56945,"Laughter, love and just a hint of magic make for THE PERFECT HOLIDAY, a fun-filled comedy romance starring Morris Chestnut, Gabrielle Union, Charlie Murphy, Katt Williams, Faizon Love, Terrence Howard and Queen Latifah. All Nancy Taylor (Union) wants for Christmas is to meet a nice man. So when her little girl shares Mommy\'s wish with smitten shopping mall Santa, Benjamin Armstrong (Chestnut), he does his best to make her dream come true in this delightful holiday treat the entire family will enjoy!"
188017,"Alex and Selma are a couple in love on a trip to the heart of Bosnia and Herzegovina. Suddenly, Selma feels a mysterious force is chasing them."
56949,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.
188021,"Even at the age of 40, Juliette is used to other people making decisions for her. When she meets two guys she likes, she has to finally make her own decision."
122488,"Charlie Rankin, recently released from prison, seeks vengeance for his jail-house mentor William ""The Buddha"" Pettigrew. Along the way, he meets the ethereal, yet streetwise, Florence Jane. They embark on a unlikely road trip, careening towards an unlikely redemption and uncertain resolution."
122490,"Hannah and Amber Baker are trapped in a dark Southern underworld of violence, drugs and bikers. Both live in fear of their ""Uncle Frank"" Stinson, the ruthless leader of a crime organization."
122495,"Three na\xc3\xafve guys, in their 20s, drive from Illinois to LA. A sleazy real-estate agent gives them a great deal on a house in the Hollywood Hills. The night they arrive, a solitary Mexican, who speaks only Spanish, tries to warn them that the place is possessed by Satan. They don\'t understand him, move in, and plan a party after they meet Lucy, their gorgeous neighbor from down the hill. An old friend of theirs, studying to be a priest, joins them. In the basement is a portal to Hell, so at the party, guests meet their end in various ways. Lucy and her friends may not be who the lads think. Is there any hope for these innocents? Maybe their neutered dog can help."
122503,"Mr. Jack and Sweet Stephen cruise aimlessly through the streets of LA speculating about life, death, divine will and the force of power that predetermines their existence. Mr. Jack attempts to illustrate to his sidekick the delicate and natural forces of the universe. Sweet Stephen\'s superficial charm and bloodsucking lifestyle sends him and Mr. Jack on a voyage that is relentless, engaging, and darkly hilarious."
122515,"Amelia, a young genius and daughter of a top secret agent, unknowingly invents a contraption that makes her the target of an evil scientist."
122517,"Here\xe2\x80\x99s the delightful tale of teamwork and adventure your whole family will love! Air Bud is the proud father of five adorable puppies - the hip-hopping B-Dawg, lovely Rosebud, mellow Buddha, dirt-loving Mudbud, and the big fella Budderball - with an unbelievable secret: They can talk! And the hilarious, hair-raising exploits of these barking, talking, ball-playing pups will have you cheering as they run off on a daring rescue mission to save their parents!"
122519,"In the tradition of disney\'s classic holiday tales comes a heartwarming movie about the power of giving and the true meaning of christmas. Discover how the legendary friendship of Santa Claus and Santa Paws began in the inspiring original film, The Search For Santa Paws. When Santa and his new best friend, Paws, discover that the boys and girls of the world have lost the spirit of the season, they take a trip to New York City. But after Santa loses his memory, it\'s up to Paws, a faithful orphan named Quinn, her new friend Will and a wonderful group of magical talking dogs to save St. Nick and show the world what Christmas is really all about."
122521,Disney\'s irresistible talking puppies are back in an all-new movie that takes them far across town to a mysterious mansion where something very spooky is going on.
