movieId,title,genres
27509,Carolina (2005),Comedy|Romance
27618,"Sound of Thunder, A (2005)",Action|Adventure|Drama|Sci-Fi|Thriller
27788,"Jacket, The (2005)",Drama|Mystery|Sci-Fi|Thriller
27821,"Interpreter, The (2005)",Drama|Thriller
27839,"Ring Two, The (2005)",Drama|Horror|Mystery|Thriller
27881,"Girl from Monday, The (2005)",Action|Comedy|Sci-Fi
27904,"Scanner Darkly, A (2006)",Animation|Drama|Mystery|Sci-Fi|Thriller
30793,Charlie and the Chocolate Factory (2005),Adventure|Children|Comedy|Fantasy|IMAX
30894,White Noise (2005),Drama|Horror|Mystery|Sci-Fi|Thriller
30896,Underclassman (2005),Action|Comedy|Thriller
30898,"Upside of Anger, The (2005)",Comedy|Drama|Romance
31221,Elektra (2005),Action|Adventure|Crime|Drama
31223,Racing Stripes (2005),Children|Comedy
31225,Coach Carter (2005),Drama
31420,Assault on Precinct 13 (2005),Action|Crime|Drama|Thriller
31422,Are We There Yet? (2005),Children|Comedy
31424,Alone in the Dark (2005),Action|Horror|Sci-Fi|Thriller
31427,Hide and Seek (2005),Horror|Mystery|Thriller
31429,Aliens of the Deep (2005),Documentary|IMAX
31431,Boogeyman (2005),Drama|Horror|Mystery|Thriller
31433,"Wedding Date, The (2005)",Comedy|Romance
31685,Hitch (2005),Comedy|Romance
31687,Pooh's Heffalump Movie (2005),Animation|Children
31689,Inside Deep Throat (2005),Documentary
31696,Constantine (2005),Action|Fantasy|Horror|Thriller
31698,Son of the Mask (2005),Adventure|Children|Comedy|Fantasy
31700,Because of Winn-Dixie (2005),Children|Comedy|Drama
31785,Frozen Land (Paha maa) (2005),Drama
31867,Man of the House (2005),Action|Comedy
32002,Bigger Than the Sky (2005),Comedy|Drama|Romance
32009,Tyler Perry's Diary of a Mad Black Woman (2005),Comedy|Drama|Romance
32011,Cursed (2005),Horror|Thriller
32017,"Pacifier, The (2005)",Action|Comedy
32019,Be Cool (2005),Comedy|Crime|Musical
32029,Hostage (2005),Action|Crime|Drama|Thriller
32031,Robots (2005),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi|IMAX
32172,Lackawanna Blues (2005),Drama
32289,Ice Princess (2005),Children|Comedy|Drama
32296,Miss Congeniality 2: Armed and Fabulous (2005),Adventure|Comedy|Crime
32298,Guess Who (2005),Comedy|Romance
32584,"Ballad of Jack and Rose, The (2005)",Drama
32587,Sin City (2005),Action|Crime|Film-Noir|Mystery|Thriller
32589,Beauty Shop (2005),Comedy
32593,Dust to Glory (2005),Action|Adventure|Documentary
32596,Sahara (2005),Action|Adventure|Comedy
32598,Fever Pitch (2005),Comedy|Romance
32605,Smile (2005),Drama
